Progress,Duration (in seconds),Consent,PreFall_Skills_1,PreFall_Skills_2,PreFall_Skills_3,PreFall_Skills_4,PreFall_Skills_5,PostFall_Skills_1,PostFall_Skills_2,PostFall_Skills_3,PostFall_Skills_4,PostFall_Skills_5,Current_Skills_1,Current_Skills_2,Current_Skills_3,Current_Skills_4,Current_Skills_5,Rubrics,Grades,Expectations,Assessment_Open,Confidence,Habits,Relationships,SEL_Open,Feedback_Strengths,Feedback_Improve,Motivation_Fall,Homework_Fall,Stress_Fall,Feedback_Open,Motivation_Spring,Homework_Spring,Grades_SoFar,Stress_Spring,Spring_Open,Open,School,School_Type,Gender,Gender_4_TEXT,Race,Race_TEXT,TA,Demographics_Open
100,406,1,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,,4,5,4,,5,5,5,5,6,,5,5,3,7,"I had a concussion that put me out of school for a bit, which made me more stressed, but all the teachers were very accommodating and helpful.",I think that the gradeless fall really did help me transition because I could focus on getting used to high school and the new grading system. ,Hamlin School for Girls,private,girl,,AAPI,,No,
100,419,1,5,4,4,2,4,5,4,4,4,4,5,4,4,4,4,5,4,4,,5,5,5,,4,4,5,5,6,I still felt like there was stress and emphasis to do well even without grades.,5,5,2,8,,"The gradeless fall helped me gain study habits and help manage my time. I was able to adjust to the amount of work. This helped me have a good understanding of what the next semester would be like, although I noticed there was an increase in work. ",Marin Montessori school,private,boy,,white,,Yes,
100,444,1,2,2,4,2,3,3,4,4,3,4,4,4,3,4,3,4,3,4,,4,4,5,,4,4,3,4,5,,5,4,3,9,,Once I started getting grades I knew that my GPA and success in high school would be determined by the scores that I got and that made every assignments more stressful,The International School of Prague,private,boy,,white,,No,
100,279,1,3,3,2,4,4,3,3,3,4,4,4,3,3,4,4,3,4,4,My understanding of how I get graded in history changed when my teacher was switched.,4,3,4,,4,4,5,5,6,,4,5,2,5,"At the time I filled this out, the semester was moving very slowly. The stress level for me will likely increase as we approach final projects/tests.",,Mill Valley Middle School,public,girl,,multiracial,,No,
100,397,1,1,3,3,2,3,3,4,4,3,4,5,4,4,3,4,3,2,4,,4,4,4,,3,4,4,5,4,,5,5,3,7,"I think that because the first semester isn’t graded, my teaches were chiller and the assignments were much more difficult. The shift from first semester to second semester was vast, and I quickly became stressed and overwhelmed. For the 9th grade team I might wonder how they can try and make that shift less vast and maybe better prepare students for the stress and advanced difficulty of the second semester.","I really appreciated the gradeless fall and it allowed me to bond with my peers and not worry about my grades as I adjust to high school, but it felt like the transition into second semester was vast and that some teachers were not expressing their full potential and effort while we did not have grades. ",Hall middle school ,public,girl,,white,,No,
100,460,1,4,3,3,4,4,4,3,4,4,4,5,4,4,4,5,4,4,4,I generally understand but sometimes it is hard because every class grades differently.,4,4,5,,5,4,5,5,5,,4,5,4,7,,"I like the gradeless fall, and I think MA does a great job of telling you where you are and how you are doing. The transition is not too bad, but the semester does feel like more work and is slightly more stressful. ",Saint Raphael School,private,girl,,Black,,Yes,
100,505,1,4,4,3,2,3,4,3,4,2,4,4,3,5,2,4,3,3,4,,4,4,4,,4,3,4,3,3,,4,4,3,5,,,Marin Primary and Middle School,private,girl,,white,,No,
100,297,1,3,2,4,2,3,3,3,4,3,3,4,4,4,3,3,4,3,4,Grades were kinda confusing,4,5,5,,4,4,4,4,7,,4,4,4,5,,Gradeless fall was great because it gave me a chance to get accustomed to MA without the pressure of grades.,San Francisco Friends School,private,boy,,Latine,,No,
100,221,1,3,2,4,4,3,2,2,5,4,3,4,4,4,4,4,3,4,3,,4,4,4,,4,4,4,5,6,,5,5,2,9,,I think I didn't know how hard some teachers graded in gradless fall,The Hamlin School,private,girl,,white,,No,
100,235,1,3,1,5,2,1,2,1,5,3,2,4,3,5,3,2,4,5,5,Nope,4,2,5,Nope,4,4,2,2,1,,4,3,2,8,,"I feel like during the gradeless period, it was nice to focus more on the social side of things, finding friends and such. The transition was rough. Suddenly, I had a lot more responsibility and a lot less time to myself. ",Davidson,public,boy,,white,,Yes,
100,248,1,3,5,4,4,4,3,5,4,4,4,4,5,4,5,5,5,4,4,None.,4,4,5,None.,4,4,5,5,7,None.,5,5,2,8,None.,,Marin Country Day School,private,boy,,white,,No,
100,192,1,1,1,4,2,1,1,2,4,3,3,2,3,5,3,4,5,4,4,,4,2,3,,4,3,4,4,8,,5,2,3,8,,,st. Isabella,private,boy,,AAPI,,No,
100,405,1,3,3,4,4,5,4,4,4,4,5,4,5,5,5,5,3,2,4,,4,4,5,,4,4,5,5,7,,5,5,3,6,,the school helepd manage out time since we have tourial and they take stress off the kids by giving class time to work on assiengments ,ross,public,girl,,white,,No,
100,246,1,2,3,2,3,3,4,3,3,4,4,4,4,3,4,4,5,3,3,,5,4,4,,4,4,4,4,4,,4,4,4,7,,"
I don't think that I really knew what to expect when transitioning to grades, however I think all the teachers really helped me transition well and understand how it worked.",Marin Montessori School,private,girl,,AAPI,,No,
100,278,1,3,2,5,1,3,5,4,5,2,3,5,5,5,2,3,2,3,5,"During the fall of ninth grade I trouble understanding the rubrics in the history department because they were very vague. I often thought that I would get a certain proficiency level when submitting an assingment, only to find my teacher had a different interpretation of the rubric.",4,4,4,,4,5,4,5,2,,5,5,2,5,,,MTS,private,boy,,white,,No,
100,284,1,3,4,4,3,3,4,2,3,3,3,5,3,3,3,3,4,3,4,,4,4,4,,3,4,3,4,7,,4,4,3,8,,,MTS,private,boy,,white,,No,
100,543,1,2,3,3,3,3,3,3,3,4,4,4,4,4,5,3,5,5,4,,4,5,4,,5,5,4,5,2,,4,5,3,4,,Marin academy does a great job transitioning from middle school to high school with the headless fall it allows students like me to assimilate easier and focus on understanding our teachers and school. Sometimes with the grade less fall it might be hard to transition however even with the grade less they give you an idea of where you are. ,St anselms  ,private,girl,,multiracial,,Yes,
100,339,1,3,3,4,5,5,4,4,4,5,5,4,5,4,5,5,5,5,4,no,5,4,5,no,4,4,4,5,7,no,5,5,3,8,no,I thin the history grading transition was a little hard for me and I am still a bit confused about the grades.,Kent Middle School,public,girl,,multiracial,Black and Lantine ,Yes,
100,298,1,5,3,4,3,5,4,5,4,4,5,4,5,4,5,5,4,4,4,no,4,4,4,nope,3,4,4,5,4,nope,4,5,3,7,stress goes up and down depending on assignments,i think the gradeless fall was nice and a good way to ease into high school,marin horizon school,private,boy,,Black,,No,
100,278,1,3,3,4,4,5,4,3,4,4,5,4,2,4,3,5,3,4,5,no,3,4,4,no,5,4,4,4,3,no,4,3,2,10,super stressful and hard,"it was great and not stressful, but the transition was extremely hard and so much more pressure homework wise",brandeis marin ,private,girl,,white,,No,
100,270,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,2,,4,4,4,,3,2,5,5,6,,5,5,3,7,,i loved the gradeless semester. it helped me understand what each of my teachers expected from me without having to worry as much about my grades,Ross school,public,girl,,white,,No,
100,351,1,5,3,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,Nope,5,4,4,"No, thank you.",5,5,5,5,9,,5,5,3,7,,"It helped me get used to the MA teaching, expectations, and rubrics. 
The spring is more challenging because of more homework and more stress from grades. As well as ethnic studies. ",Marin Montessori Middle School,private,boy,,AAPI,,Yes,
100,464,1,2,2,3,4,5,4,3,4,5,5,5,5,4,5,5,4,4,5,,5,5,4,,4,4,5,5,7,,5,5,3,9,,"I feel like the idea of gradeless fall is cool because it lets everyone adapt to the new school environment, and so everyone is at about an equal level by the end of the first semester. The only downside of it is that when it comes to the spring semester is is really stressful since it is such a sudden big changes where you know that your trial run is over.",Davidson Middle School,public,girl,,not listed,Hispanic/Latine,Yes,
100,155,1,5,3,4,4,3,5,5,4,5,5,5,5,5,5,4,3,4,4,,4,4,5,,4,3,4,4,9,,5,5,5,8,,,Marin Country Day Schoo;,private,girl,,white,,No,
100,330,1,5,5,5,5,5,2,1,2,2,2,5,4,4,4,4,4,4,5,,4,4,5,,4,4,4,3,8,,5,5,4,6,,"I think my experience with no grade was GREAT!! I felt excellent not having to worry about my grades; my main priority was to do well, which didn't motivate me as much since there were no grades. Now that there are grades, I feel more motivated and challenged to do work, which I think helps me a lot. ",Venetia Valley,public,boy,,Latine,,Yes,
100,343,1,3,2,4,1,1,4,3,4,3,3,4,4,4,3,3,4,3,4,,4,4,5,,5,4,4,4,4,,5,5,3,7,,It was great,Ross Middle School,public,boy,,white,,No,
100,658,1,3,3,4,4,4,4,3,4,3,3,5,4,4,4,3,4,4,4,,3,4,4,,3,2,3,5,4,,5,5,1,10,,,Ross,public,boy,,white,,No,
100,406,1,4,2,4,2,3,4,2,4,3,4,4,3,4,3,4,3,4,3,,3,3,4,,4,4,2,3,8,,4,5,4,7,,I feel in many ways it helped me ease the transition between middle school into highschool but in many ways made it so I felt unmotivated/no pressure to do school work and get good grades,Marin Country Day School,private,girl,,multiracial,"Asian, White",No,
100,495,1,3,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,,4,4,5,5,5,,5,5,3,6,"Spring semester is not as stressful most of the times, only when classes assign projects around the same time. ","Having no grades in the fall semester kind of put me off because it was difficult to know exactly how well I was doing in each of the classes, but it was beneficial because it helped us make risks and mistakes without the pressure of our grade tanking. The transition to grades in the spring semester wasn't as difficult as I thought, and it helped me to come forward and ask for more support from my teachers.",Hamilton K-8 school,public,girl,,Latine,,Yes,
100,669,1,5,3,4,4,4,4,3,4,4,4,5,4,4,5,4,4,3,4,,4,4,5,,4,3,4,4,7,,4,4,4,7,,I loved grade less fall because it made me less stressed this semester. I could adapt/adjust to the academics and feel more prepared now. I am less stressed now for tests.,Children’s day school,private,girl,,white,,No,
100,259,1,3,3,3,3,3,4,4,3,3,3,4,4,3,4,4,5,4,4,,3,4,4,,5,5,4,5,4,,5,5,3,4,,"I did not think it was much better or worse, it was just different.",Mark Day,private,boy,,multiracial,,No,
100,241,1,5,4,5,4,4,2,2,4,4,3,4,3,5,4,3,4,3,4,,3,3,4,,4,3,3,2,8,,2,3,2,9,,"I think that the gradeless fall made me slip a little. But near the end, I think that I got back into my old routine.",Town,private,boy,,multiracial,,No,
100,345,1,5,4,4,3,4,3,2,3,2,3,3,3,3,3,4,3,3,4,,4,4,4,,4,5,4,3,4,,4,4,3,7,,I felt the transition was huge and was nerveracking.,White Hill Middle School ,public,boy,,multiracial,,No,
100,563,1,3,1,3,2,1,4,2,3,3,2,4,3,3,4,3,5,3,5,,3,4,5,,5,4,5,5,8,,5,4,4,6,,"Although I was quite stressed in the first semester, receiving grades didn't change my mentality towards schoolwork. I was still motivated to do my best but put more pressure on myself on tests and quizzes.",Marin Primary and Middle School,private,girl,,white,,No,
100,309,1,3,3,4,4,5,4,4,3,5,3,4,2,4,5,4,3,3,3,,4,5,3,"I felt I improved over all compared to in 8th grade

",4,4,5,4,6,,5,3,3,8,In spring the projects have gotten harder and they usually all happen at once,The gradeless fall helped me build friendships and join Marin Academy without the stress of immediately having perfect grades.,Prospect Sierra,private,girl,,multiracial,"European, African American, Hispanic",Yes,
100,155,1,4,5,4,5,5,4,5,5,4,5,4,4,5,4,5,3,3,4,,4,4,4,,3,4,5,5,4,,5,5,3,6,,,St. Patrick,private,girl,,multiracial,,No,
100,352,1,4,4,3,3,5,4,5,5,4,4,4,5,5,4,4,4,5,5,No,5,5,5,No,4,5,5,4,1,No,5,5,3,4,No,"The gradeless fall was beneficial for getting used to a whole new type of learning. The transition also went well, and I am grateful that there were no grades in the fall. ",Cathedral School for Boys,private,boy,,white,,No,
100,189,1,3,3,4,4,5,3,4,4,5,5,3,4,4,5,5,4,3,3,,5,4,4,,3,4,4,5,3,,4,5,3,4,,It was a nice transition,Miller Creek Middle School,public,girl,,AAPI,,No,
100,216,1,2,2,4,2,2,3,3,4,3,2,3,4,4,3,3,4,5,5,,4,4,4,,4,4,4,4,2,,5,5,3,7,,,Town school,private,boy,,white,,No,
100,222,1,2,1,4,4,3,4,4,4,3,3,4,5,4,3,4,3,4,4,,4,4,4,,4,4,5,5,5,,4,4,3,7,,I liked it and the transition was not hard for me,children's day school,private,boy,,white,,No,
100,240,1,2,2,3,4,4,3,2,5,4,5,5,3,5,5,5,4,3,4,,4,4,4,,4,4,5,5,1,,5,5,2,9,,Gradeless fall prepared me for what class grading would be like and how to implement feedback. This fall was good because i was able to expirment without any negtive effects.,Davidson middle school,public,girl,,white,,No,
100,452,1,3,2,3,2,2,3,3,4,4,4,4,2,5,5,5,3,4,4,,5,5,5,,5,3,5,5,5,,5,5,2,9,,"I liked the gradeless fall and I was so sad when it ended. I feel like I took away the same amount of information form both semesters, however I felt a lot more stressed in the secound semester due to grades.",Kathrine Delmar Burkes School,private,girl,,white,,No,
100,452,1,5,4,4,3,4,5,3,4,4,5,5,5,5,5,4,4,5,5,,2,4,5,My confidence had steadily diminished,2,4,5,5,9,,5,5,1,10,"Although I apply myself relentlessly to my studies, and specifically those that are challenging to me, the grades I have gotten are not reflective of my drive and time put towards the class",I feel the gradeless fall was a detriment to me as it ravaged my pre made study habits and allowed me to take a back seat,San Domenico,private,boy,,white,,No,
100,567,1,3,5,4,3,4,4,5,4,4,4,4,5,4,5,4,4,4,3,For teachers expectations it would have been strongly agree but i had 2 teacher changes from fall to spring that made it difficult to know.,5,5,4,no,4,5,4,5,1,Fall semester was not stressful for school terms but more so for community.,5,5,3,2,,I think the transition was great and I like that it is a gradeless fall semester. ,Saint Patrick,private,boy,,white,,No,
85,161,1,2,4,5,5,5,2,2,5,5,5,3,4,5,5,5,2,1,4,,2,2,2,not by the end of fall,2,3,2,5,3,,4,4,3,10,adjusting to grades was hard ,i really liked it,,,,,,,,
100,265,1,5,4,4,4,5,3,4,4,4,5,4,2,4,4,5,5,4,4,,3,4,5,,5,4,4,5,3,,5,5,2,5,,"Personally, I was prepared at the end of eighth grade for most aspects of high school, including grades.",Mark Day School,private,boy,,white,,No,
100,234,1,3,3,5,5,5,4,4,5,5,5,5,4,5,5,5,3,5,4,N/A,5,4,5,N/A,3,3,5,5,7,N/A,4,5,3,9,N/A,"I THINK THAT IT WAS GREAT T0 HAVE THE FALL SEMESTER GRADELESS, BUT I DO THINK THAT OUR TEACHERS COULD HAVE PREPARED US A BIT MORE FOR GRADES. ",HALL MIDDLE SCHOOL,public,girl,,white,,No,N/A